function,n,gradient_approach,k,optimizer,lr,loss
styblinski-tang,512,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.014039928353368349,-19207.8125
styblinski-tang,1024,bp,,Backpropagation,0.05399332921854338,-40106.16015625
styblinski-tang,1024,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.00013602163405099495,-19991.556640625
styblinski-tang,1024,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.00019468493562370021,-23779.703125
styblinski-tang,1024,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.0002810143531171884,-29161.609375
styblinski-tang,1024,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.0003989547580346934,-36997.68359375
styblinski-tang,1024,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.10593074100310636,-23190.00390625
styblinski-tang,1024,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.07507254492307514,-28952.595703125
styblinski-tang,1024,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.029288805520767902,-37069.1171875
sphere,1,bp,,Backpropagation,0.18355736356591992,0.0
sphere,1,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.29329329708528024,0.0
sphere,1,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.42299183305768256,0.0
sphere,1,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.3316314789064596,0.0
sphere,1,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.3712538130731052,0.0
sphere,1,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.3316314789064596,0.0
sphere,1,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.3316314789064596,0.0
sphere,1,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.3316314789064596,0.0
sphere,2,bp,,Backpropagation,0.3316314789064596,0.0
sphere,2,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.12150731428549984,0.0
sphere,2,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.18794972156787,0.0
